id,model_name,brand,wattage,form_factor,efficiency_rating,price
501,ROG THOR 1200P,ASUS,1200,ATX,Platinum,45000
502,ROG THOR 1000P,ASUS,1000,ATX,Platinum,38000
503,ROG STRIX 850G,ASUS,850,ATX,Gold,25000
504,ROG STRIX 750G,ASUS,750,ATX,Gold,20000
505,ROG STRIX 650G,ASUS,650,ATX,Gold,17000
506,TUF GAMING 750B,ASUS,750,ATX,Bronze,15000
507,TUF GAMING 650B,ASUS,650,ATX,Bronze,12000
508,TUF GAMING 550B,ASUS,550,ATX,Bronze,10000
509,PRIME 750W,ASUS,750,ATX,Gold,18000
510,PRIME 650W,ASUS,650,ATX,Gold,15000
511,PRIME 550W,ASUS,550,ATX,Gold,12000
512,AX1600i,Corsair,1600,ATX,Titanium,75000
513,HX1500i,Corsair,1500,ATX,Platinum,60000
514,HX1200,Corsair,1200,ATX,Platinum,45000
515,HX1000,Corsair,1000,ATX,Platinum,35000
516,HX850,Corsair,850,ATX,Platinum,28000
517,HX750,Corsair,750,ATX,Platinum,24000
518,RM1000x,Corsair,1000,ATX,Gold,30000
519,RM850x,Corsair,850,ATX,Gold,22000
520,RM750x,Corsair,750,ATX,Gold,18000
521,RM650x,Corsair,650,ATX,Gold,15000
522,RM550x,Corsair,550,ATX,Gold,13000
523,CV750,Corsair,750,ATX,Bronze,12000
524,CV650,Corsair,650,ATX,Bronze,10000
525,CV550,Corsair,550,ATX,Bronze,8000
526,Super Nova 1600 T2,EVGA,1600,ATX,Titanium,70000
527,Super Nova 1300 G2,EVGA,1300,ATX,Gold,40000
528,Super Nova 1000 G6,EVGA,1000,ATX,Gold,32000
529,Super Nova 850 G6,EVGA,850,ATX,Gold,25000
530,Super Nova 750 G6,EVGA,750,ATX,Gold,20000
531,Super Nova 650 G6,EVGA,650,ATX,Gold,17000
532,Super Nova 550 G6,EVGA,550,ATX,Gold,14000
533,GA 850W,EVGA,850,ATX,Gold,22000
534,GA 750W,EVGA,750,ATX,Gold,18000
535,GA 650W,EVGA,650,ATX,Gold,15000
536,BQ 750W,EVGA,750,ATX,Bronze,13000
537,BQ 650W,EVGA,650,ATX,Bronze,11000
538,BQ 550W,EVGA,550,ATX,Bronze,9000
539,P2 1200W,EVGA,1200,ATX,Platinum,45000
540,P2 1000W,EVGA,1000,ATX,Platinum,35000
541,P2 850W,EVGA,850,ATX,Platinum,28000
542,FOCUS GX-1000,Seasonic,1000,ATX,Gold,32000
543,FOCUS GX-850,Seasonic,850,ATX,Gold,24000
544,FOCUS GX-750,Seasonic,750,ATX,Gold,19000
545,FOCUS GX-650,Seasonic,650,ATX,Gold,16000
546,FOCUS GX-550,Seasonic,550,ATX,Gold,13000
547,PRIME TX-1000,Seasonic,1000,ATX,Titanium,50000
548,PRIME PX-1000,Seasonic,1000,ATX,Platinum,38000
549,PRIME GX-1000,Seasonic,1000,ATX,Gold,30000
550,CORE GM-650,Seasonic,650,ATX,Gold,14000
551,CORE GM-550,Seasonic,550,ATX,Gold,12000
552,S12III 650W,Seasonic,650,ATX,Bronze,10000
553,S12III 550W,Seasonic,550,ATX,Bronze,8000
554,S12III 500W,Seasonic,500,ATX,Bronze,7000
555,PQ 1000M,be quiet!,1000,ATX,Platinum,35000
556,PQ 850M,be quiet!,850,ATX,Platinum,28000
557,PQ 750M,be quiet!,750,ATX,Platinum,24000
558,SP 11 1000W,be quiet!,1000,ATX,Platinum,32000
559,SP 11 850W,be quiet!,850,ATX,Platinum,26000
560,SP 11 750W,be quiet!,750,ATX,Platinum,22000
561,SP 11 650W,be quiet!,650,ATX,Platinum,19000
562,PP 11 600W,be quiet!,600,ATX,Platinum,17000
563,SF 750W,be quiet!,750,SFX,Platinum,25000
564,SF 600W,be quiet!,600,SFX,Platinum,20000
565,SF 450W,be quiet!,450,SFX,Platinum,15000
566,REVOLT X 1200W,Phanteks,1200,ATX,Platinum,42000
567,REVOLT PRO 1000W,Phanteks,1000,ATX,Gold,30000
568,REVOLT PRO 850W,Phanteks,850,ATX,Gold,24000
569,REVOLT PRO 750W,Phanteks,750,ATX,Gold,20000
570,AMP 1000W,Phanteks,1000,ATX,Gold,28000
571,AMP 850W,Phanteks,850,ATX,Gold,23000
572,AMP 750W,Phanteks,750,ATX,Gold,19000
573,PQ 1000W,Super Flower,1000,ATX,Platinum,32000
574,PQ 850W,Super Flower,850,ATX,Platinum,26000
575,PQ 750W,Super Flower,750,ATX,Platinum,22000
576,LEADEX VII 1300W,Super Flower,1300,ATX,Gold,45000
577,LEADEX VII 1000W,Super Flower,1000,ATX,Gold,30000
578,LEADEX VII 850W,Super Flower,850,ATX,Gold,24000
579,LEADEX III 850W,Super Flower,850,ATX,Gold,22000
580,LEADEX III 750W,Super Flower,750,ATX,Gold,18000
581,LEADEX III 650W,Super Flower,650,ATX,Gold,15000
582,ECO 600W,Super Flower,600,ATX,Bronze,9000
583,ECO 500W,Super Flower,500,ATX,Bronze,7000
584,ECO 400W,Super Flower,400,ATX,Bronze,6000
585,TOUGHPOWER 1500W,Thermaltake,1500,ATX,Titanium,60000
586,TOUGHPOWER 1200W,Thermaltake,1200,ATX,Platinum,45000
587,TOUGHPOWER 1000W,Thermaltake,1000,ATX,Gold,30000
588,TOUGHPOWER 850W,Thermaltake,850,ATX,Gold,23000
589,TOUGHPOWER 750W,Thermaltake,750,ATX,Gold,19000
590,TOUGHPOWER 650W,Thermaltake,650,ATX,Gold,16000
591,SMART 700W,Thermaltake,700,ATX,Bronze,11000
592,SMART 600W,Thermaltake,600,ATX,Bronze,9000
593,SMART 500W,Thermaltake,500,ATX,Bronze,7000
594,LITEPOWER 550W,Thermaltake,550,ATX,White,5000
595,LITEPOWER 450W,Thermaltake,450,ATX,White,4000
596,PURE POWER 12 M 1000W,be quiet!,1000,ATX,Gold,32000
597,PURE POWER 12 M 850W,be quiet!,850,ATX,Gold,26000
598,PURE POWER 12 M 750W,be quiet!,750,ATX,Gold,22000
599,PURE POWER 11 600W,be quiet!,600,ATX,Gold,18000
600,PURE POWER 11 500W,be quiet!,500,ATX,Gold,15000