id,model_name,interface,capacity,type,price
401,980 Pro,NVMe,2000,SSD,25000
402,970 Evo Plus,NVMe,1000,SSD,15000
403,970 Evo,NVMe,500,SSD,8000
404,870 Evo,SATA,1000,SSD,12000
405,870 QVO,SATA,2000,SSD,18000
406,860 Evo,SATA,500,SSD,6000
407,850 Pro,SATA,512,SSD,8000
408,990 Pro,NVMe,2000,SSD,28000
409,980,NVMe,1000,SSD,13000
410,970 Pro,NVMe,512,SSD,10000
411,SN850X,NVMe,2000,SSD,24000
412,SN850,NVMe,1000,SSD,14000
413,SN770,NVMe,1000,SSD,12000
414,SN750,NVMe,500,SSD,7000
415,Blue,SATA,1000,SSD,10000
416,Green,SATA,500,SSD,5000
417,Black,SATA,2000,SSD,16000
418,Red,SATA,4000,SSD,25000
419,Purple,SATA,2000,SSD,14000
420,Gold,SATA,8000,SSD,45000
421,FireCuda 530,NVMe,2000,SSD,26000
422,FireCuda 520,NVMe,1000,SSD,15000
423,Barracuda,SATA,2000,SSD,16000
424,IronWolf,SATA,4000,SSD,22000
425,SkyHawk,SATA,2000,SSD,18000
426,Exos,SATA,8000,SSD,48000
427,P41 Platinum,NVMe,2000,SSD,27000
428,P31 ,NVMe,1000,SSD,16000
429,P41,NVMe,512,SSD,9000
430,S31x,SATA,1000,SSD,11000
431,KC3000,NVMe,2000,SSD,23000
432,KC2500,NVMe,1000,SSD,14000
433,A2000,NVMe,500,SSD,6000
434,UV500,SATA,1000,SSD,9000
435,A400,SATA,480,SSD,4000
436,SX8200 Pro,NVMe,2000,SSD,22000
437,SX6000 Pro,NVMe,1000,SSD,13000
438,SU800,SATA,1000,SSD,8000
439,SU650,SATA,480,SSD,3500
440,Legend 840,NVMe,2000,SSD,21000
441,P5 Plus,NVMe,1000,SSD,13000
442,P2,NVMe,500,SSD,5000
443,MX500,SATA,1000,SSD,8500
444,BX500,SATA,480,SSD,3000
445,MP600 PRO,NVMe,2000,SSD,25000
446,MP600,NVMe,1000,SSD,15000
447,SP580,SATA,1000,SSD,7000
448,S70 Blade ,NVMe,2000,SSD,20000
449,A80 ,NVMe,1000,SSD,11000
450,A55,SATA,480,SSD,2500
451,Sabrent Rocket 4 Plus,NVMe,2000,SSD,26000
452,Sabrent Rocket Q,NVMe,1000,SSD,14000
453,Team Cardea Zero Z440 ,NVMe,2000,SSD,21000
454,Team MP34,NVMe,1000,SSD,12000
455,Team CX2,SATA,480,SSD,2800
456,Intel 670p,NVMe,2000,SSD,19000
457,Intel 665p,NVMe,1000,SSD,10000
458,Intel 545s,SATA,512,SSD,4500
459,Intel Optane 905P,NVMe,960,SSD,45000
460,Intel Optane 900P,NVMe,480,SSD,25000
461,Patriot Viper VPN100,NVMe,2000,SSD,20000
462,Patriot P300,NVMe,500,SSD,4000
463,Patriot Burst,SATA,480,SSD,2200
464,Inland Performance Plus,NVMe,2000,SSD,22000
465,Inland Platinum,NVMe,1000,SSD,11000
466,Inland Professional,SATA,480,SSD,2000
467,PNY XLR8 CS3040,NVMe,2000,SSD,23000
468,PNY CS3030,NVMe,1000,SSD,12000
469,PNY CS900,SATA,480,SSD,2500
470,Transcend 220S,NVMe,1000,SSD,10000
471,Transcend 110S,NVMe,512,SSD,5000
472,Transcend SSD230S,SATA,480,SSD,2000
473,WD Blue HDD,SATA,2000,HDD,6000
474,WD Black HDD,SATA,4000,HDD,10000
475,WD Red HDD,SATA,6000,HDD,12000
476,WD Purple HDD,SATA,4000,HDD,9000
477,Seagate Barracuda HDD,SATA,2000,HDD,5000
478,Seagate IronWolf HDD,SATA,4000,HDD,8000
479,Seagate SkyHawk HDD,SATA,2000,HDD,6000
480,Toshiba P300 HDD,SATA,2000,HDD,4500
481,Toshiba X300 HDD,SATA,4000,HDD,7500
482,Hitachi Ultrastar HDD,SATA,4000,HDD,7000
483,Samsung 870 QVO,SATA,4000,SSD,30000
484,WD Blue,SATA,4000,SSD,28000
485,Seagate Barracuda 120,SATA,2000,SSD,18000
486,Crucial MX500,SATA,2000,SSD,16000
487,Kingston UV500,SATA,2000,SSD,17000
488,ADATA SU800,SATA,2000,SSD,15000
489,Team Group CX2,SATA,2000,SSD,14000
490,Silicon Power A55 ,SATA,2000,SSD,13000
491,Patriot Burst,SATA,2000,SSD,12000
492,Transcend SSD230S,SATA,2000,SSD,11000
493,PNY CS900,SATA,2000,SSD,10000
494,Inland Professional,SATA,2000,SSD,9000
495,Intel 545s,SATA,1000,SSD,6000
496,WD Green,SATA,240,SSD,2000
497,Kingston A400,SATA,240,SSD,1800
498,ADATA SU650,SATA,120,SSD,1000
499,Team Group CX2,SATA,120,SSD,800
500,Silicon Power A55, SATA,60,SSD,500